"year","month","clinical_presentation","cases"
2022,"Mai","Alarming",0
2022,"Mai","Mild",5
2022,"Mai","Severe",0
2017,"Jun","Alarming",0
2017,"Jun","Mild",0
2017,"Jun","Severe",0
2018,"Jun","Alarming",0
2018,"Jun","Mild",0
2018,"Jun","Severe",0
2019,"Jun","Alarming",0
2019,"Jun","Mild",0
2019,"Jun","Severe",0
2020,"Jun","Alarming",0
2020,"Jun","Mild",0
2020,"Jun","Severe",0
2021,"Jun","Alarming",0
2021,"Jun","Mild",0
2021,"Jun","Severe",0
2022,"Jun","Alarming",0
2022,"Jun","Mild",9
2022,"Jun","Severe",0
2017,"Jul","Alarming",0
2017,"Jul","Mild",0
2017,"Jul","Severe",0
2018,"Jul","Alarming",0
2018,"Jul","Mild",0
2018,"Jul","Severe",0
2019,"Jul","Alarming",0
2019,"Jul","Mild",0
2019,"Jul","Severe",0
2020,"Jul","Alarming",0
2020,"Jul","Mild",0
2020,"Jul","Severe",0
2021,"Jul","Alarming",0
2021,"Jul","Mild",0
2021,"Jul","Severe",0
2022,"Jul","Alarming",0
2022,"Jul","Mild",0
2022,"Jul","Severe",0
2017,"Ago","Alarming",0
2017,"Ago","Mild",0
2017,"Ago","Severe",0
2018,"Ago","Alarming",0
2018,"Ago","Mild",0
2018,"Ago","Severe",0
2019,"Ago","Alarming",0
2019,"Ago","Mild",0
2019,"Ago","Severe",0
2020,"Ago","Alarming",0
2020,"Ago","Mild",0
2020,"Ago","Severe",0
2021,"Ago","Alarming",0
2021,"Ago","Mild",0
2021,"Ago","Severe",0
2022,"Ago","Alarming",0
2022,"Ago","Mild",0
2022,"Ago","Severe",0
2017,"Set","Alarming",0
2017,"Set","Mild",0
2017,"Set","Severe",0
2018,"Set","Alarming",0
2018,"Set","Mild",0
2018,"Set","Severe",0
2019,"Set","Alarming",0
2019,"Set","Mild",0
2019,"Set","Severe",0
2020,"Set","Alarming",0
2020,"Set","Mild",1
2020,"Set","Severe",0
2021,"Set","Alarming",0
2021,"Set","Mild",0
2021,"Set","Severe",0
2022,"Set","Alarming",0
2022,"Set","Mild",0
2022,"Set","Severe",0
2017,"Out","Alarming",0
2017,"Out","Mild",0
2017,"Out","Severe",0
2018,"Out","Alarming",0
2018,"Out","Mild",0
2018,"Out","Severe",0
2019,"Out","Alarming",0
2019,"Out","Mild",0
2019,"Out","Severe",0
2020,"Out","Alarming",0
2020,"Out","Mild",2
2020,"Out","Severe",0
2021,"Out","Alarming",0
2021,"Out","Mild",0
2021,"Out","Severe",0
2022,"Out","Alarming",0
2022,"Out","Mild",0
2022,"Out","Severe",0
2017,"Nov","Alarming",0
2017,"Nov","Mild",2
2017,"Nov","Severe",0
2018,"Nov","Alarming",0
2018,"Nov","Mild",0
2018,"Nov","Severe",0
2019,"Nov","Alarming",0
2019,"Nov","Mild",0
2019,"Nov","Severe",0
2020,"Nov","Alarming",1
2020,"Nov","Mild",0
2020,"Nov","Severe",0
2021,"Nov","Alarming",0
2021,"Nov","Mild",0
2021,"Nov","Severe",0
2022,"Nov","Alarming",0
2022,"Nov","Mild",0
2022,"Nov","Severe",0
2017,"Dez","Alarming",0
2017,"Dez","Mild",2
2017,"Dez","Severe",0
2018,"Dez","Alarming",0
2018,"Dez","Mild",0
2018,"Dez","Severe",0
2019,"Dez","Alarming",1
2019,"Dez","Mild",3
2019,"Dez","Severe",0
2020,"Dez","Alarming",2
2020,"Dez","Mild",0
2020,"Dez","Severe",0
2021,"Dez","Alarming",0
2021,"Dez","Mild",0
2021,"Dez","Severe",0
2022,"Dez","Alarming",0
2022,"Dez","Mild",0
2022,"Dez","Severe",0
